start_stop_id,end_stop_id,route_id,direction_id,trip_id,sequence,weight
stop1898,stop559,route104,1,trip1,0,154.0
stop559,stop557,route104,1,trip1,1,231.0
stop557,stop1723,route104,1,trip1,2,585.0
stop1723,stop714,route104,1,trip1,3,364.0
stop714,stop929,route104,1,trip1,4,1329.0
stop929,stop2440,route104,1,trip1,5,1327.0
stop2440,stop1521,route104,1,trip1,6,628.0
stop1521,stop1743,route104,1,trip1,7,465.0
stop1743,stop1516,route104,1,trip1,8,73.0
stop1516,stop1765,route104,1,trip1,9,1067.0
stop1765,stop1658,route104,1,trip1,10,395.0
stop1658,stop1190,route104,1,trip1,11,1613.0
stop1190,stop278,route104,1,trip1,12,402.0
stop278,stop282,route104,1,trip1,13,424.0
stop282,stop2592,route104,1,trip1,14,385.0
stop2592,stop2705,route104,1,trip1,15,640.0
stop2705,stop2260,route104,1,trip1,16,369.0
stop2260,stop1047,route104,1,trip1,17,814.0
stop1047,stop2185,route104,1,trip1,18,494.0
stop2185,stop1134,route104,1,trip1,19,376.0
stop1134,stop1101,route104,1,trip1,20,369.0
stop1101,stop853,route104,1,trip1,21,255.0
stop853,stop1659,route104,1,trip1,22,516.0
stop1659,stop2699,route104,1,trip1,23,373.0
stop2699,stop1359,route104,1,trip1,24,407.0
stop1359,stop1438,route104,1,trip1,25,796.0
stop1438,stop601,route104,1,trip1,26,2259.0
stop601,stop2649,route104,1,trip1,27,363.0
stop2649,stop7,route104,1,trip1,28,433.0
stop7,stop448,route104,1,trip1,29,991.0
stop448,stop2534,route104,1,trip1,30,341.0
stop2534,stop2721,route104,1,trip1,31,701.0
stop2721,stop2603,route104,1,trip1,32,451.0
stop2603,stop2205,route104,1,trip1,33,867.0
stop2205,stop2666,route104,1,trip1,34,1286.0
stop2666,stop1357,route104,1,trip1,35,367.0
stop1357,stop2204,route104,1,trip1,36,1171.0
stop2204,stop30,route104,1,trip1,37,627.0
stop30,stop772,route104,1,trip1,38,408.0
stop772,stop848,route104,1,trip1,39,1371.0
stop848,stop2229,route104,1,trip1,40,591.0
stop2229,stop1622,route104,1,trip1,41,632.0
stop1622,stop1294,route104,1,trip1,42,394.0
stop1294,stop2492,route104,1,trip1,43,320.0
stop2492,stop1585,route104,1,trip1,44,210.0
stop1003,stop1973,route130,1,trip10,0,959.0
stop1973,stop1174,route130,1,trip10,1,752.0
stop1174,stop2342,route130,1,trip10,2,875.0
stop2342,stop2623,route130,1,trip10,3,2103.0
stop2623,stop904,route130,1,trip10,4,1671.0
stop904,stop900,route130,1,trip10,5,463.0
stop900,stop314,route130,1,trip10,6,943.0
stop314,stop3,route130,1,trip10,7,753.0
stop3,stop478,route130,1,trip10,8,798.0
stop478,stop2258,route130,1,trip10,9,353.0
stop2258,stop1368,route130,1,trip10,10,971.0
stop1368,stop1128,route130,1,trip10,11,575.0
stop1128,stop759,route130,1,trip10,12,974.0
stop759,stop304,route130,1,trip10,13,482.0
stop304,stop1458,route130,1,trip10,14,639.0
stop1458,stop248,route130,1,trip10,15,565.0
stop248,stop844,route130,1,trip10,16,1193.0
stop844,stop2049,route130,1,trip10,17,1387.0
stop2049,stop2383,route130,1,trip10,18,1487.0
stop2383,stop2333,route130,1,trip10,19,925.0
stop2333,stop1694,route130,1,trip10,20,854.0
stop1694,stop2127,route130,1,trip10,21,1218.0
stop2127,stop1834,route130,1,trip10,22,947.0
stop1834,stop1852,route130,1,trip10,23,422.0
stop1852,stop2321,route130,1,trip10,24,2302.0
stop2321,stop2322,route130,1,trip10,25,345.0
stop2322,stop1314,route130,1,trip10,26,7514.0
stop1314,stop1590,route130,1,trip10,27,980.0
stop1590,stop729,route130,1,trip10,28,1036.0
stop729,stop2506,route130,1,trip10,29,608.0
stop2506,stop1336,route130,1,trip10,30,1116.0
stop1336,stop1825,route130,1,trip10,31,445.0
stop1825,stop2662,route130,1,trip10,32,784.0
stop2662,stop597,route130,1,trip10,33,1615.0
stop597,stop600,route130,1,trip10,34,252.0
stop600,stop370,route130,1,trip10,35,2061.0
stop370,stop1791,route130,1,trip10,36,1339.0
stop1791,stop443,route130,1,trip10,37,1456.0
stop443,stop446,route130,1,trip10,38,642.0
stop446,stop315,route130,1,trip10,39,194.0
stop315,stop573,route130,1,trip10,40,400.0
stop573,stop920,route130,1,trip10,41,510.0
