stop_id,stop_name,latitude,longitude
stop1,(Mostorod Bridge) Ring Road,30.163368,31.304024
stop2,10 St. Steps (Ring Rd.),30.10626,31.202986
stop3,10 St. Steps (Ring Rd.),30.106283,31.202766
stop4,10th District (Nasr City),30.049072,31.378845
stop5,10th District (Nasr City),30.048328,31.379961
stop6,10th District (Nasr City),30.049362,31.379839
stop7,10th District (Nasr City),30.048904,31.37905
stop8,10th District (Nasr City),30.049112,31.379221
stop9,10th District (Nasr City),30.048325,31.38006
stop10,10th District (Shorouq City),30.134521,31.657364
stop11,10th District (Shorouq City),30.13433,31.657202
stop12,10th District Station (6th of October),29.964344,30.915606
stop13,10th District Station (6th of October),29.963678,30.914577
stop14,10th District Station (6th of October),29.963781,30.914484
stop15,10th of Ramadan,30.154938,31.408575
stop16,10th of Ramadan (Ismailiya Desert Rd.),30.148645,31.422926
stop17,10th of Ramadan City,30.295128,31.743813
stop18,10th of Ramadan City Entrance,30.26461,31.755386
stop19,11th District (6th of October),29.962776,30.901794
stop20,11th District (Hay Al Hadi Ashr) Exit - Sheikh Zayed,30.049696,30.976954
stop21,11th District Exit (Sheikh Zayed),30.049063,30.976707
stop22,15th of May,29.810863,31.378103
stop23,15th of May Checkpoint,29.821608,31.352797
stop24,15th of May City Authority,29.826612,31.364035
stop25,15th of May City Authority,29.826466,31.364223
stop26,15th of May School (Mostorod),30.132105,31.282913
stop27,15th of May Youth Forum,29.831581,31.37835
stop28,15th of May Youth Forum,29.83146,31.378393
stop29,16th District (Sheikh Zayed),30.053202,30.966187
stop30,1st Settlement Authority,30.052122,31.448147
stop31,1st Settlement Station,30.064577,31.449131
stop32,20 St. & Al Mostaqbal St. (Sheikh Zayed),30.047403,30.976717
stop33,20 St. & Al Mostaqbal St. (Sheikh Zayed),30.047106,30.976511
stop34,26th of July Corridor & Alex Desert Rd.,30.04711,31.051592
stop35,26th of July Corridor & Alex Desert Rd.,30.048206,31.052382
stop36,26th of July Corridor & Alex Desert Rd.,30.047281,31.052485
stop37,26th of July Corridor Entrance from Ring Rd.,30.063845,31.17437
stop38,26th of July Corridor Exit to Alex Desert Rd.,30.048586,31.050406
stop39,2nd District Entrance - Obour,30.249115,31.46816
stop40,2nd Nasr City Police Station,30.05068,31.311892
stop41,2nd Nasr City Police Station,30.050518,31.312164
stop42,3rd Settlement Station,29.984022,31.442358
stop43,3rd Settlement Station,29.984312,31.442474
stop44,4th Neighbourhood Council (15th of May ),29.837914,31.376825
stop45,4th Neighbourhood Council (15th of May),29.83835,31.37779
stop46,5th Settlement Authority,29.993355,31.416061
stop47,5th Settlement Authority,29.993156,31.417702
stop48,5th Settlement Authority,29.993097,31.416092
stop49,5th Settlement Police Station,29.997766,31.426624
stop50,6 October Bridge (Mostorod),30.137955,31.29324
stop51,6 October Bridge (Mostorod),30.13781,31.29327
stop52,6th District (6th of October),29.931501,30.917341
stop53,6th District (6th of October),29.931467,30.91719
stop54,6th Of October City Authority,29.98265,30.952312
stop55,6th Of October City Authority,29.98274,30.952488
stop56,6th Of October Public Library,29.986101,30.943127
stop57,6th Of October Public Library,29.986055,30.94303
stop58,6th Of October University,29.975758,30.949817
stop59,6th of October Garden (Helwan),29.840557,31.329374
stop60,6th of October Garden (Helwan),29.840471,31.329432
stop61,6th of October Panorama,30.074152,31.303833
stop62,7 Omarat,30.08798,31.336267
stop63,7th District (6th of October),29.983267,30.93946
stop64,7th District (Nasr City),30.041981,31.329512
stop65,7th District Entrance (6th of October),29.979935,30.949512
stop66,7th District Entrance (6th of October),29.980381,30.950205
stop67,7th District Entrance (6th of October),29.97744,30.940578
stop68,7th District Entrance (6th of October),29.977373,30.94048
stop69,7th District Station (Nasr City),30.043678,31.329226
stop70,7th District Station (Nasr City),30.043547,31.329361
stop71,8th District (6th of October),29.974854,30.93174
stop72,8th District (6th of October),29.97423,30.930529
stop73,8th District (Nasr City),30.06141,31.380363
stop74,8th District (Nasr City),30.061361,31.379536
stop75,8th District (Shorouq City),30.16387,31.605534
stop76,8th District (Shorouq City),30.163845,31.60537
stop77,Aba Al Kassem Mosque (Autostrad),29.932964,31.28809
stop78,Aba Al Kassem Mosque (Autostrad),29.933023,31.288227
stop79,Abbas Al Akkad St. & Mostafa Al Nahas St.,30.05365,31.338762
stop80,Abbas Al Akkad St. & Mostafa Al Nahas St.,30.054043,31.338547
stop81,Abbaseya,30.073334,31.284698
stop82,Abbaseya,30.073181,31.28507
stop83,Abbaseya,30.072712,31.285635
stop84,Abbaseya,30.072832,31.286053
stop85,Abbaseya,30.07252,31.28438
stop86,Abbaseya Bridge Entrance,30.070265,31.289656
stop87,Abbaseya Bridge Entrance,30.070246,31.289957
stop88,Abbaseya Bridge Etrance,30.070488,31.28931
stop89,Abbaseya Bridge Exit,30.075361,31.283716
stop90,Abbaseya Hospital,30.068605,31.292269
stop91,Abbaseya Hospital,30.071074,31.294273
stop92,Abbaseya Hospital,30.070976,31.29467
stop93,Abbaseya Square,30.073889,31.285383
stop94,Abbaseya Square,30.07421,31.285593
stop95,Abboud,30.103725,31.256844
stop96,Abboud,30.104708,31.255331
stop97,Abboud,30.104778,31.25526
