trip_id,route_id,route_short_name,stops
trip1,route104,Minibus 304,"stop1898,stop559,stop557,stop1723,stop714,stop929,stop2440,stop1521,stop1743,stop1516,stop1765,stop1658,stop1190,stop278,stop282,stop2592,stop2705,stop2260,stop1047,stop2185,stop1134,stop1101,stop853,stop1659,stop2699,stop1359,stop1438,stop601,stop2649,stop7,stop448,stop2534,stop2721,stop2603,stop2205,stop2666,stop1357,stop2204,stop30,stop772,stop848,stop2229,stop1622,stop1294,stop2492,stop1585"
trip2,route104,Minibus 304,"stop1584,stop2491,stop1621,stop780,stop776,stop681,stop773,stop2535,stop2635,stop2665,stop2602,stop2720,stop447,stop646,stop4,stop2648,stop602,stop1437,stop1358,stop2700,stop1660,stop80,stop852,stop1102,stop1133,stop2186,stop1045,stop2262,stop2706,stop2591,stop283,stop1191,stop1657,stop1766,stop1520,stop2439,stop1839,stop928,stop141,stop713,stop343,stop458,stop556,stop559"
trip3,route477,Microbus,"stop1107,stop382,stop998"
trip4,route477,Microbus,"stop998,stop1108"
trip5,route589,Microbus,"stop1053,stop1201"
trip6,route589,Microbus,"stop1201,stop2734"
trip7,route289,CTA 407,"stop2686,stop1819,stop385,stop1325,stop824,stop494,stop517,stop970,stop1759,stop2688,stop2499,stop1393,stop1401,stop575,stop2683,stop1178,stop1862,stop1033,stop1772,stop500,stop432,stop471,stop244,stop2397,stop746,stop2237,stop821,stop1231,stop758,stop2236,stop860,stop205,stop1188,stop2001,stop2508,stop1991,stop105,stop2584,stop208,stop2284,stop2296,stop212,stop199"
trip8,route289,CTA 407,"stop198,stop188,stop1943,stop211,stop207,stop1661,stop1452,stop104,stop2551,stop2119,stop114,stop206,stop859,stop2235,stop758,stop1231,stop2237,stop742,stop1036,stop470,stop431,stop501,stop1773,stop1034,stop2420,stop1039,stop2622,stop1863,stop1177,stop560,stop1213,stop168,stop2198,stop574,stop1402,stop1392,stop2500,stop2687,stop1758,stop969,stop516,stop493,stop823,stop1324,stop2097,stop1018"
trip9,route40,Microbus,"stop2450,stop1241,stop990,stop1080,stop1256,stop1473,stop415,stop2250,stop1588,stop2406,stop2404"
trip10,route130,Microbus,"stop1003,stop1973,stop1174,stop2342,stop2623,stop904,stop900,stop314,stop3,stop478,stop2258,stop1368,stop1128,stop759,stop304,stop1458,stop248,stop844,stop2049,stop2383,stop2333,stop1694,stop2127,stop1834,stop1852,stop2321,stop2322,stop1314,stop1590,stop729,stop2506,stop1336,stop1825,stop2662,stop597,stop600,stop370,stop1791,stop443,stop446,stop315,stop573,stop920,stop1040,stop921,stop1305,stop2410,stop586"
trip11,route130,Microbus,"stop52,stop2704,stop2301,stop1365,stop317,stop1768,stop767,stop2597,stop2655,stop2297,stop2172,stop469,stop440,stop1602,stop616,stop337,stop2279,stop856,stop1598,stop58,stop1307,stop55,stop831,stop1149,stop594,stop1959,stop1275,stop1823,stop1988,stop1678,stop2109,stop2041,stop706,stop2731,stop1228,stop1611,stop2365,stop939,stop523,stop533,stop301,stop2337,stop37,stop249,stop1457,stop303,stop761,stop1127,stop1369,stop537,stop2257,stop479,stop2,stop905,stop899,stop2325,stop2624,stop2344,stop2246,stop1964,stop1974,stop1002"
trip12,route546,Minibus 93,"stop559,stop557,stop457,stop705,stop2392,stop710,stop711,stop2349,stop2585,stop1943,stop189,stop201,stop211,stop1224,stop1023,stop297,stop1189,stop205,stop323,stop954,stop310,stop822,stop2238,stop744,stop1636,stop1118,stop1116,stop1445,stop633,stop2435"
trip13,route546,Minibus 93,"stop2435,stop633,stop1112,stop1444,stop1118,stop1636,stop748,stop743,stop311,stop955,stop1069,stop1188,stop296,stop112,stop1025,stop1354,stop2296,stop212,stop202,stop188,stop1762,stop2300,stop2293,stop967,stop2350,stop712,stop709,stop2391,stop704,stop458,stop556,stop559"
trip14,route425,Minibus 48,"stop987,stop183,stop2267,stop718,stop1205,stop484,stop633,stop1112,stop1444,stop1117,stop2736,stop322,stop1118,stop1636,stop748,stop743,stop822,stop1231,stop758,stop2236,stop860,stop205,stop1188,stop296,stop581,stop2226,stop428,stop1073,stop298,stop1724,stop854,stop1480,stop1483,stop1418,stop1951,stop1955,stop1839,stop928,stop141,stop496"
trip15,route425,Minibus 48,"stop929,stop1054,stop1954,stop1950,stop1417,stop1482,stop1481,stop1075,stop1076,stop2155,stop1072,stop429,stop2225,stop297,stop1189,stop206,stop859,stop2235,stop758,stop1231,stop2237,stop745,stop1636,stop1118,stop322,stop2736,stop1117,stop1113,stop1445,stop633,stop483,stop1204,stop717,stop2266,stop986"
trip16,route605,Minibus 47,"stop1864,stop263,stop264,stop194,stop1051,stop696,stop1045,stop2262,stop632,stop876,stop1484,stop2566,stop858,stop62,stop1799,stop880,stop437,stop2356,stop612,stop2505,stop1008,stop1009,stop1742,stop231,stop226,stop94,stop89,stop1400,stop331,stop1782,stop1479,stop567,stop1254,stop2295,stop2296,stop212,stop2286,stop202,stop188,stop1762,stop2300,stop2293,stop967,stop2350"
trip17,route605,Minibus 47,"stop1290,stop712,stop709,stop2391,stop704,stop458,stop96,stop2629,stop836,stop1019,stop1268,stop2129,stop1143,stop1624,stop2569,stop2427,stop1474,stop2358,stop612,stop436,stop881,stop1800,stop2567,stop2131,stop170,stop1236,stop1866"
trip18,route471,Minibus 202,"stop364,stop326,stop1653,stop234,stop116,stop1510,stop733,stop2203,stop1258,stop84,stop93,stop227,stop230,stop1657,stop1765,stop640,stop2656,stop2164,stop1525,stop555,stop549,stop2546,stop160,stop1890,stop2003,stop542,stop2634,stop388,stop2461,stop768"
trip19,route471,Minibus 202,"stop768,stop2461,stop388,stop2634,stop542,stop2003,stop1890,stop159,stop2545,stop550,stop1524,stop2165,stop1623,stop2657,stop641,stop1516,stop1009,stop1742,stop231,stop226,stop94,stop81,stop674,stop115,stop214,stop325,stop363,stop430,stop1884"
